geno,Name,SOURCE,PI,release,maturity,note
B222,Baccus,Asgrow,,1986,unk,VGx5431
B223,Sabre,Asgrow,,1992,unk,VGx5561
B015,Brogan,Bejo,,1997,mid,NA
B148,Burney,Bejo,,2012,unk,NA
B195,Belstar,Bejo,,2000,unk,"Organic hybrid for spring and summer plantings.  Belstar has proven to be widely adapted, and has performed particularly well in Florida in the winter. Heads are medium green and well domed with a medium-sized bead. Strong, stress-tolerant plants with good side-shoot production. For summer and fall harvest. Organically grown."
B198,Fiesta,Bejo,,1994,unk," Fiesta will definitely give you reason to celebrate. This hybrid variety shone in our trials with its unmatched uniformity and high yields of deliciously sweet, 6-7 inch, bright green, tightly domed heads on compact plants. This impressive variety tolerates both hot and cold temperatures equally well, making it adaptable and dependable for spring and fall production. Good disease resistance. "
B206,Covina,Bejo,,,unk,"We were blown away by Covina F1’s performance in our field trials two years in a row when we had an unusually cold, wet year followed by an extremely hot, dry year. Both wildly different but equally stressful field conditions didn’t bother this workhorse broccoli - upright, large-framed plants produced big, tightly beaded heads for reliable harvests. Good for both spring and fall production. From our partners at Bejo Seeds. "
B189,EMBR934,Emerald,,,unk,NA
B190,EMBR958,Emerald,,,unk,NA
B194,Corato,Enza-Zaden,,2013,unk,NA
B181,Green Numen,Evergrow,,2015,unk,"Heat_Tolerance;   Early maturity, harvest 50-55 days after TP. Curd dome   shape, small beads, wt. 0.5-0.6 kg. Good eating quality,   few side shoots, suit growing between temperature   15-30 ℃."
B182,Green Elegance,Evergrow,,2012,unk,"Heat_Tolerance; Harvest 55-60 days after TP. Strong growth, few side   shoots, curd medium beads dome shape, w.t. 0.65-0.8 kg.   Good quality, high yield, strong heat, rain & disease   tolerance. Slow yellowing."
B183,White Coral,Evergrow,,,unk,Heat_Sensitive
B093,CAVOLO BROCCOLO TARDIVO,F. Branca/University of Catania,HRIGRU 4716,,unk,calabrese
B094,CAVOLO BROCCOLO DI SARNO,F. Branca/University of Catania,HRIGRU 4744,,unk,calabrese
B095,VERDE CALABRESE PRECOCE,F. Branca/University of Catania,HRIGRU 4702,,unk,calabrese
B096,RAMOSO GRANDE PRECOCE,F. Branca/University of Catania,HRIGRU 5282,,unk,calabrese
B097,RAMOSO CALABRESE,F. Branca/University of Catania,HRIGRU 5365,,unk,calabrese
B098,CAVOLO BROCCOLO NATALINA,F. Branca/University of Catania,HRIGRU 5384,,unk,calabrese
B099,CAVOLO BROCCOLO FREVAROTA,F. Branca/University of Catania,HRIGRU 5386,,unk,calabrese
B100,CAVOLO BROCCOLO MARZULLO,F. Branca/University of Catania,HRIGRU 5387,,unk,calabrese
B101,CAVOLO BROCCOLO INVERNALE TYPE A,F. Branca/University of Catania,HRIGRU 5402,,unk,calabrese
B102,RAMOSO CALABRESE,F. Branca/University of Catania,HRIGRU 3207,,unk,calabrese
B103,BROCCOLO VERDE DI CALABRIA PRECOCISSIMO,F. Branca/University of Catania,HRIGRU 7517,,unk,broccoli
B104,CAVOLO ZOLFINO,F. Branca/University of Catania,HRIGRU 5362,,unk,broccoli
B105,PRECOCE DI CALABRIA TIPO ESPORTAZIONE,F. Branca/University of Catania,HRIGRU 7518,,unk,broccoli
B106,PICOLINI DI PALERMO,F. Branca/University of Catania,HRIGRU 2398,,unk,broccoli
B107,RAMOSO CALABRIA MEZZO PRECOCE,F. Branca/University of Catania,HRIGRU 3208,,unk,calabrese
B108,VERDE CALABRESE,F. Branca/University of Catania,HRIGRU 4703,,unk,calabrese
B109,RAMOSO CALABRESE VERDE,F. Branca/University of Catania,HRIGRU 4704,,unk,calabrese
B110,VERDE CALABRESE,F. Branca/University of Catania,HRIGRU 4706,,unk,calabrese
B111,NATALINO DI NAPOLI,F. Branca/University of Catania,HRIGRU 4729,,unk,calabrese
B112,CAVOLO BROCCOLO SETTEMBRINA,F. Branca/University of Catania,HRIGRU 5382,,unk,calabrese
B113,BROCCOLO INNOROTA/GENNOROTA,F. Branca/University of Catania,HRIGRU 5385,,unk,calabrese
B114,CAVOLO BROCCOLO,F. Branca/University of Catania,HRIGRU 5388,,unk,calabrese
B115,(BROCCOLO) RAMOSO DI CALABRIA,F. Branca/University of Catania,HRIGRU 10771,,unk,calabrese
B116,BROCCOLO,F. Branca/University of Catania,HRIGRU 11780,,unk,broccoli
B117,NATALISA CIURIETTI,F. Branca/University of Catania,HRIGRU 11784,,unk,broccoli
B118,BROCCOLO D'ESTATE,F. Branca/University of Catania,HRIGRU 2400,,unk,broccoli
B119,BROCCOLO NATALINO,F. Branca/University of Catania,HRIGRU 2401,,unk,broccoli
B120,BROCCOLO APRILOTO,F. Branca/University of Catania,HRIGRU 2405,,unk,broccoli
B121,MAIALORA,F. Branca/University of Catania,HRIGRU 11783,,unk,broccoli
B122,RAMOSO CALABRESE,F. Branca/University of Catania,HRIGRU 4700,,unk,calabrese
B123,RAMOSO CALABRESE,F. Branca/University of Catania,HRIGRU 4701,,unk,calabrese
B124,RAMOSO CALABRESE PRECOCE,F. Branca/University of Catania,HRIGRU 4705,,unk,calabrese
B125,RAMOSO ATLANTIC (LOCAL),F. Branca/University of Catania,HRIGRU 4707,,unk,calabrese
B126,RAMOSO CALABRESE,F. Branca/University of Catania,HRIGRU 4708,,unk,calabrese
B127,RAMOSO CALABRESE PRECOCE,F. Branca/University of Catania,HRIGRU 4710,,unk,calabrese
B128,BROCCOLO NATALINO DI SARNO,F. Branca/University of Catania,HRIGRU 4721,,unk,calabrese
B129,RAMOSO CALABRIA TARDIVO,F. Branca/University of Catania,HRIGRU 3228,,unk,broccoli
B130,CAVOLO BROCCOLO AGOSTINA,F. Branca/University of Catania,HRIGRU 5381,,unk,broccoli
B131,BROCCOLO VERDE DI CALABRIA TARDIVO,F. Branca/University of Catania,HRIGRU 7516,,unk,late broccoli
B132,PRECOCE DI CALABRIA,F. Branca/University of Catania,HRIGRU 7519,,unk,broccoli
B133,RAMOSO CALABRESE,F. Branca/University of Catania,HRIGRU 4709,,unk,calabrese
B134,CAVOLO SPARACELLO,F. Branca/University of Catania,HRIGRU 5442,,unk,broccoli
B135,N'TAGLIU/N'TAGGHIV/PILOTU,F. Branca/University of Catania,HRIGRU 11797,,unk,broccoli/calabrese CONTAMINATED JUNCEA OR RAPA
B136,RAMOSO CALABRESE VERDE,F. Branca/University of Catania,HRIGRU 4711,,unk,calabrese
B137,RAMOSO CALABRESE PRECOCE,F. Branca/University of Catania,HRIGRU 5281,,unk,calabrese
B138,BROCCOLO NO 1,F. Branca/University of Catania,HRIGRU 11781,,unk,broccoli
B139,DI SICILIA CATANESE,F. Branca/University of Catania,HRIGRU 8577,,unk,broccoli
B140,BROCCOLO TARDIVO DI MARZO,F. Branca/University of Catania,HRIGRU 11747,,unk,broccoli CONTAMINATED JUNCEA OR RAPA
B204,Cavolo Broccoli Ramoso Calabrese,Franchi/SoI,,,unk,"Broccoli of Calabria.  Traditional variety from Southern Italy. Compact. Early with a medium-sized head which is 4-5 inches across. Vigorous producer of large side shoots which form after main head is cut. If you let it produce side shoots, space it at 24 inches since the plant gets huge. Nice sweet taste, tender shoots. Good for both spring and fall planting. 55-60 days."
