"","gbs","short.name","geno","class","cross.type","c","N109","good.geno","good.pheno","good.photo","gps","HT","WD","HE","LT","BM","HM","HI","BS","BU","HC","HD","CL","RR","BR","HS","HU","HR","OQ","FC","MT","FF","F50","MF50","Name","SOURCE","PI","release","maturity","Lat","Long","Calabrese.F1","Violet.Caul","Calabrese.LR","Sprouting.Broccoli","subpop","groupCol","PC1","PC2","PC3","PC4","PC5"
"1","B001_HKT721_A1_Marathon_F1","B001.Marathon","B001","italica","F1",",","y","y","y","y","n",48.133,72.7286666666667,3.33333333333333,7.16666666666667,879.15,151.266666666667,17.4277601802475,1.35333333333333,3.5,4.83333333333333,72.1333333333333,31.95,20.5833333333333,4.5,3,3.5,3.83333333333333,3.5,0,125.666666666667,138.8,146.4,23.8,"Marathon","Sakata","",1985,"late",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.349613,-7.1673336,9.993282,10.397174,-7.2179604
"2","B003_HKT721_A2_Diplomat_F1","B003.Diplomat","B003","italica","F1",",","y","y","y","y","n",40.005,73.8293333333333,3.16666666666667,7.5,672.866666666667,107.2,15.9417454045789,1.41666666666667,4.16666666666667,4.16666666666667,63.1166666666667,31.4166666666667,18.4666666666667,4.83333333333333,2.83333333333333,3.33333333333333,4.16666666666667,3.83333333333333,0,106,122.833333333333,129,23,"Diplomat","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.542614,-1.8112786,4.761573,3.0191028,-1.4907111
"3","B004_HKT721_A3_DuraPak19_F1","B004.DuraPak19","B004","italica","F1",",","y","y","y","y","n",41.6983333333333,82.8463333333333,3.33333333333333,1,793.716666666667,166.45,20.9776468458304,1.35666666666667,4.5,4.66666666666667,85.9833333333333,39.9166666666667,19.7166666666667,5,3.16666666666667,3.83333333333333,4.33333333333333,4,0,122.333333333333,144.333333333333,153.666666666667,31.3333333333333,"DuraPak 19","Syngenta","",2014,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.7659235,-4.826126,6.159838,7.265085,-6.9630346
"4","B011_HKT721_A6_Gypsy_F1","B011.Gypsy","B011","italica","F1",",","y","y","n","y","n",49.5723333333333,71.1623333333333,3.66666666666667,0.833333333333333,605.35,107.183333333333,18.0846108844035,1.56666666666667,3,4.16666666666667,70.6333333333333,29.65,18.85,4.66666666666667,2.33333333333333,3.16666666666667,3.66666666666667,3.16666666666667,0,104.5,121.166666666667,125.833333333333,21.3333333333333,"Gypsy","Sakata","",2002,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.839397,-5.037738,5.788833,6.6626387,-4.3956966
"5","B013_HKT721_A7_Lieutenant_F1","B013.Lieutenant","B013","italica","F1",",","y","y","n","y","n",38.6503333333333,68.7493333333333,2.66666666666667,0.833333333333333,541.533333333333,139.316666666667,25.8947084326246,1.46,3,4.16666666666667,76.8,40.5166666666667,23.0666666666667,4.83333333333333,2.83333333333333,3.5,4,3.5,0,102,117.666666666667,121,19,"Lieutenant","Seminis/Vanden Bosch/Royal Sluis","",2011,"early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.955824,-5.2196856,7.5745726,2.0262382,0.124280564
"6","B014_HKT721_A8_Green_Magic_F1","B014.Green.Magic","B014","italica","F1",",","y","y","y","y","n",39.497,75.565,2.83333333333333,5,587.333333333333,143.666666666667,24.4394486252892,1.58,3,4.5,74.1166666666667,35.75,21.3333333333333,4,2.5,3.33333333333333,3.83333333333333,3.33333333333333,0,100.5,117.5,122.333333333333,21.8333333333333,"Green Magic","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",14.82558,-7.0289664,7.2089815,4.219063,0.46879265
"7","B015_HKT723_F1_Brogan_F1","B015.Brogan","B015","italica","F1",",","y","y","y","y","n",50.3766666666667,71.5433333333333,3.66666666666667,11.3333333333333,857.65,136.133333333333,16.1699911729477,1.38666666666667,2.83333333333333,4.83333333333333,79.4333333333333,42.4333333333333,22.8666666666667,4.66666666666667,2.16666666666667,2,2.5,2,0,122,136.166666666667,148.166666666667,26.1666666666667,"Brogan","Bejo","",1997,"mid",NA,NA,0.999975,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.54888,-6.3031406,8.239679,7.2617164,-5.5376782
"8","B016_HKT723_E6_Green_Harmony_F1","B016.Green.Harmony","B016","unk","F1",",","y","y","y","y","n",26.5176,46.228,2.66666666666667,1.5,254.183333333333,102.833333333333,30.1913621242956,1.275,2.6,3.5,72.2666666666667,38.5,11.0666666666667,4.4,2.5,2.16666666666667,1.33333333333333,1.16666666666667,0,75.3333333333333,79.1666666666667,89.6666666666667,17.2,"Green Harmony","Known You","",1991,"early",NA,NA,0.73181,0.268174,8e-06,8e-06,"Calabrese.F1","#1b9e77",0.29272443,-6.5816483,-0.9979526,-9.699485,10.568857
"9","B017_HKT721_A9_Major_F1","B017.Major","B017","italica","F1",",","y","y","y","y","n",35.6023333333333,67.5216666666667,3.16666666666667,0,573.283333333333,131.5,23.0637567616214,1.70666666666667,4.16666666666667,3.66666666666667,81.5333333333333,35.7833333333333,23.15,4.83333333333333,2.5,3.5,4.16666666666667,3.33333333333333,0,95.5,105.666666666667,113.166666666667,17.6666666666667,"Major","Seminis/Vanden Bosch/Royal Sluis","",1993,"early",NA,NA,0.7773,0.116803,0.105889,8e-06,"Calabrese.F1","#1b9e77",6.6884828,-3.217637,-0.998506,-3.9510918,4.2468877
"10","B021_HKT721_A10_Liberty_F1","B021.Liberty","B021","italica","F1",",","y","y","s","y","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberty","Peto Seed","",1994,"early",NA,NA,0.999976,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",15.374524,-8.837311,10.998419,11.174311,-7.5824537
"11","B047_HKT721_A11_Packman_F1","B047.Packman","B047","italica","F1",",","y","y","y","y","n",35.179,72.0936666666667,3.83333333333333,1.83333333333333,536.6,101.94,20.6092339917513,1.91666666666667,3.66666666666667,2.83333333333333,67.4833333333333,37.0666666666667,17.3166666666667,4.83333333333333,1.83333333333333,2.66666666666667,3.83333333333333,3,0,89.3333333333333,102,107,17.6666666666667,"Packman","Peto Seed","",1983,"early",NA,NA,0.930311,8e-06,0.069673,8e-06,"Calabrese.F1","#1b9e77",12.923935,1.7192812,0.9883486,-10.516843,9.058778
"12","B093_HKT721_B1_Cavolo_Broccolo_Tardivo_OP","B093.Cavolo.Broccolo.Tardivo","B093","italica","LR",",","y","y","y","y","y",51.8583333333333,79.5443333333333,3.83333333333333,7.16666666666667,576.65,71.6833333333333,12.4317555668196,2.06666666666667,2,2.5,54.85,25.5833333333333,19.6333333333333,3.66666666666667,1.66666666666667,1.66666666666667,2.5,1.83333333333333,0,119.5,139.333333333333,161.166666666667,41.6666666666667,"CAVOLO BROCCOLO TARDIVO","F. Branca/University of Catania","HRIGRU 4716",NA,"unk",41.225743,16.296137,0.045206,8e-06,0.954778,8e-06,"Calabrese.LR","#d95f02",0.7844614,9.408005,-13.580837,0.14105517,-4.0694456
"13","B094_HKT721_B2_Cavolo_Broccolo_Di_Sarno_OP","B094.Cavolo.Broccolo.Di.Sarno","B094","italica","LR",",","y","y","s","y","y",56.642,66.294,3,15,399.8,49,12.256128064032,3.28,2,2,35,15,11.3,4,3,2,3,2,0,193,148,168,NA,"CAVOLO BROCCOLO DI SARNO","F. Branca/University of Catania","HRIGRU 4744",NA,"unk",40.851712,14.268134,0.032558,8e-06,8e-06,0.967426,"Sprouting.Broccoli","#e7298a",-25.618242,18.438192,8.127981,16.27504,14.978772
"14","B095_HKT721_B3_Verde_Calabrese_Precoce_OP","B095.Verde.Calabrese.Precoce","B095","italica","LR",",","y","y","y","y","y",55.5836666666667,67.691,4,11.5,558,74.1666666666667,14.2392344912836,1.41333333333333,3.16666666666667,2.5,47.8666666666667,20.2,14.1833333333333,2.83333333333333,2,2,2.66666666666667,1.66666666666667,0,121.5,129.666666666667,158,36.5,"VERDE CALABRESE PRECOCE","F. Branca/University of Catania","HRIGRU 4702",NA,"unk",41.893082,12.493395,0.223172,8e-06,0.776812,8e-06,"Calabrese.LR","#d95f02",6.9822345,6.3225255,-12.607042,7.149231,-10.486664
"15","B096_HKT721_B4_Ramoso_Grande_Precoce_OP","B096.Ramoso.Grande.Precoce","B096","italica","LR",",","y","y","y","y","y",41.4443333333333,71.0353333333333,3.33333333333333,7,586.15,102.416666666667,17.5832362106179,1.94666666666667,2.83333333333333,3.33333333333333,62.65,27.2,18.5833333333333,4,2.5,2.5,3.5,2.33333333333333,0,105.333333333333,112.333333333333,136.833333333333,31.5,"RAMOSO GRANDE PRECOCE","F. Branca/University of Catania","HRIGRU 5282",NA,"unk",41.224705,16.296067,0.293631,8e-06,0.706353,8e-06,"Calabrese.LR","#d95f02",7.0131974,8.414821,-11.690048,-6.458728,0.73893875
"16","B097_HKT721_B5_Ramoso_Calabrese_OP","B097.Ramoso.Calabrese","B097","italica","LR",",","y","y","y","y","n",46.2703333333333,73.406,3.33333333333333,8.16666666666667,530.72,106.383333333333,18.5101266673515,1.34333333333333,3.16666666666667,3,52.6666666666667,24.1,14.9333333333333,2.66666666666667,1.5,1.66666666666667,2.16666666666667,1.66666666666667,0,111.166666666667,121.833333333333,143.5,32.3333333333333,"RAMOSO CALABRESE","F. Branca/University of Catania","HRIGRU 5365",NA,"unk",NA,NA,0.196235,8e-06,0.80375,8e-06,"Calabrese.LR","#d95f02",5.3914595,9.434221,-13.873439,-3.1801028,-2.3563678
"17","B098_HKT721_B6_Cavolo_Broccolo_Natalina_OP","B098.Cavolo.Broccolo.Natalina","B098","unk","LR",",","y","y","s","y","y",48.768,90.17,2,0,941.9,113,11.9970272852744,NA,5,5,65.7,37.1,19.4,5,5,4,NA,3,NA,192,NA,NA,NA,"CAVOLO BROCCOLO NATALINA","F. Branca/University of Catania","HRIGRU 5384",NA,"unk",38.112073,13.339183,8e-06,0.999977,8e-06,8e-06,"Violet.Caul","#7570b3",-31.21778,-29.456964,-12.069357,2.708058,3.0455322
"18","B099_HKT721_B7_Cavolo_Broccolo_Frevarota_OP","B099.Cavolo.Broccolo.Frevarota","B099","unk","LR",",","y","y","n","n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAVOLO BROCCOLO FREVAROTA","F. Branca/University of Catania","HRIGRU 5386",NA,"unk",38.112073,13.339183,8e-06,0.999976,8e-06,8e-06,"Violet.Caul","#7570b3",-31.916195,-30.93462,-11.985235,2.834826,4.7849264
