"","gbs","Name","geno","class","Type","c","N109","good.geno","good.pheno","good.photo","gps","HT","WD","HE","LT","BM","HM","HI","BS","BU","HC","HD","CL","RR","BR","HS","HU","HR","OQ","FC","MT","FF","F50","MF50","Name","Source","PI","Release.Collection","maturity","Lat","Long","Calabrese.F1","Violet.Caul","Calabrese.LR","Sprouting.Broccoli","subpop","groupCol","PC1","PC2","PC3","PC4","PC5"
"1","B001_HKT721_A1_Marathon_F1","B001.Marathon","B001","italica","F1",",","y","y","y","y","n",49.276,74.93,3,6,878.3,153,17.4200159398839,1.36,3,4,68,37.1,19,4,3,3,3,3,0,127,141,144,17,"Marathon","Sakata","",1985,"late",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.349613,-7.1673336,9.993282,10.397174,-7.2179604
"2","B001_HKT721_A1_Marathon_F1","B001.Marathon","B001","italica","F1",",","y","y","y","y","n",47.752,71.882,3,13,1015.5,135.6,13.3530280649926,1.44,4,5,55.1,31.7,19.8,4,3,3,3,3,0,127,133,145,18,"Marathon","Sakata","",1985,"late",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.349613,-7.1673336,9.993282,10.397174,-7.2179604
"3","B001_HKT721_A1_Marathon_F1","B001.Marathon","B001","italica","F1",",","y","y","y","y","n",53.848,67.31,4,7,1178.4,193.3,16.4035980991174,1.72,2,5,90.9,41.3,27.3,4,3,3,4,3,0,131,147,153,22,"Marathon","Sakata","",1985,"late",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.349613,-7.1673336,9.993282,10.397174,-7.2179604
"4","B001_HKT721_A1_Marathon_F1","B001.Marathon","B001","italica","F1",",","y","y","y","y","n",48.768,61.976,4,5,640.6,84.1,13.1283172026225,1.06,4,5,54.6,24.5,18.4,5,3,4,5,4,NA,141,NA,NA,NA,"Marathon","Sakata","",1985,"late",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.349613,-7.1673336,9.993282,10.397174,-7.2179604
"5","B001_HKT721_A1_Marathon_F1","B001.Marathon","B001","italica","F1",",","y","y","y","y","n",42.418,69.088,3,5,694.8,170.3,24.51065054692,1.22,4,5,87.2,28,13.2,5,3,4,4,4,0,116,133,144,28,"Marathon","Sakata","",1985,"late",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.349613,-7.1673336,9.993282,10.397174,-7.2179604
"6","B001_HKT721_A1_Marathon_F1","B001.Marathon","B001","italica","F1",",","y","y","y","y","n",46.736,91.186,3,7,867.3,171.3,19.7509512279488,1.32,4,5,77,29.1,25.8,5,3,4,4,4,0,112,140,146,34,"Marathon","Sakata","",1985,"late",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.349613,-7.1673336,9.993282,10.397174,-7.2179604
"7","B003_HKT721_A2_Diplomat_F1","B003.Diplomat","B003","italica","F1",",","y","y","y","y","n",40.386,78.486,3,7,941.8,140,14.8651518369081,1.42,5,5,69.2,27.1,21.3,4,4,4,4,4,0,110,126,130,20,"Diplomat","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.542614,-1.8112786,4.761573,3.0191028,-1.4907111
"8","B003_HKT721_A2_Diplomat_F1","B003.Diplomat","B003","italica","F1",",","y","y","y","y","n",34.036,74.676,3,10,626.1,90.7,14.486503753394,1.68,3,4,44.9,24.7,11.2,5,3,3,4,4,0,109,128,131,22,"Diplomat","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.542614,-1.8112786,4.761573,3.0191028,-1.4907111
"9","B003_HKT721_A2_Diplomat_F1","B003.Diplomat","B003","italica","F1",",","y","y","y","y","n",40.64,68.834,3,9,663.7,100.4,15.1273165586862,1.36,4,4,61.5,30.1,13.1,5,3,3,4,4,0,105,122,130,25,"Diplomat","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.542614,-1.8112786,4.761573,3.0191028,-1.4907111
"10","B003_HKT721_A2_Diplomat_F1","B003.Diplomat","B003","italica","F1",",","y","y","y","y","n",43.942,74.422,3,4,490.9,77.3,15.7465878997759,1.36,4,4,56,33.5,23.8,5,2,2,4,3,0,97,105,114,17,"Diplomat","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.542614,-1.8112786,4.761573,3.0191028,-1.4907111
"11","B003_HKT721_A2_Diplomat_F1","B003.Diplomat","B003","italica","F1",",","y","y","y","y","n",39.116,74.168,3,7,589.2,96,16.2932790224033,1.52,5,3,63.6,31.1,17.6,5,3,4,5,4,0,113,139,144,31,"Diplomat","Sakata","",2004,"mid-early",NA,NA,0.999977,8e-06,8e-06,8e-06,"Calabrese.F1","#1b9e77",16.542614,-1.8112786,4.761573,3.0191028,-1.4907111
