trial,geno,rep,unique,sc,MT,FF,F50,MF50,HT,WD,BM,LT,HM,HI,HD,CL,RR,BS,BR,BU,HC,HE,HS,HU,HR,OQ,FC,note.geno,note.plot
0,B001,1,A01_row-1_rep-GBS1_E,8,125,133,139,14,NA,39.37,319.3,5,41.1,12.8719072972127,20,13.6,11.5,1.08,5,5,4,4,4,3,4,3,0,irregular heading and flowering,slow end plot
0,B001,2,D07_row-2_rep-GBS2_E,5,89,99,106,17,46.736,62.23,722.1,9,124.4,17.2275308129068,46.7,17.3,15.4,1.36,2,4,5,3,3,2,3,2,0,irregular heading and flowering,"extreme lats, irregular heading and flowering "
1,B001,1,B001_row-3_rep-1_E,6,127,141,144,17,49.276,74.93,878.3,6,153,17.4200159398839,68,37.1,19,1.36,4,3,4,3,3,3,3,3,0,irregular heading and flowering,
1,B001,2,B001_row-9_rep-2_W,11,127,133,145,18,47.752,71.882,1015.5,13,135.6,13.3530280649926,55.1,31.7,19.8,1.44,4,4,5,3,3,3,3,3,0,irregular heading and flowering,extreme lats
1,B001,3,B001_row-13_rep-3_W,9,131,147,153,22,53.848,67.31,1178.4,7,193.3,16.4035980991174,90.9,41.3,27.3,1.72,4,2,5,4,3,3,4,3,0,irregular heading and flowering,extreme lats
2,B001,1,B001_row-19_rep-1_E,8,141,NA,NA,NA,48.768,61.976,640.6,5,84.1,13.1283172026225,54.6,24.5,18.4,1.06,5,4,5,4,3,4,5,4,NA,irregular heading and flowering,stunted front of plot. head maturity may be off
2,B001,2,B001_row-26_rep-2_W,11,116,133,144,28,42.418,69.088,694.8,5,170.3,24.51065054692,87.2,28,13.2,1.22,5,4,5,3,3,4,4,4,0,irregular heading and flowering,
2,B001,3,B001_row-29_rep-3_W,10,112,140,146,34,46.736,91.186,867.3,7,171.3,19.7509512279488,77,29.1,25.8,1.32,5,4,5,3,3,4,4,4,0,irregular heading and flowering,extreme lats
0,B003,1,A02_row-1_rep-GBS1_E,5,81,105,121,40,35.052,56.642,474.4,5,79.5,16.7580101180438,40.9,16.6,16.6,1.12,4,4,3,3,3,2,4,3,0,no notes,
0,B003,2,D08_row-2_rep-GBS2_E,4,80,101,104,24,48.006,67.056,622.6,4,87.9,14.1182139415355,60.4,32,17.2,1.2,5,3,3,4,3,3,4,3,0,no notes,
1,B003,1,B003_row-3_rep-1_E,10,109,128,131,22,34.036,74.676,626.1,10,90.7,14.486503753394,44.9,24.7,11.2,1.68,5,3,4,3,3,3,4,4,0,no notes,
1,B003,2,B003_row-10_rep-2_W,11,105,122,130,25,40.64,68.834,663.7,9,100.4,15.1273165586862,61.5,30.1,13.1,1.36,5,4,4,3,3,3,4,4,0,no notes,
1,B003,3,B003_row-16_rep-3_E,10,110,126,130,20,40.386,78.486,941.8,7,140,14.8651518369081,69.2,27.1,21.3,1.42,4,5,5,3,4,4,4,4,0,no notes,
2,B003,1,B003_row-19_rep-1_E,8,113,139,144,31,39.116,74.168,589.2,7,96,16.2932790224033,63.6,31.1,17.6,1.52,5,5,3,3,3,4,5,4,0,no notes,
2,B003,2,B003_row-27_rep-2_E,8,102,117,125,23,41.91,72.39,725.5,8,138.8,19.131633356306,83.5,42,23.8,1.16,5,4,5,4,2,4,4,4,0,no notes,
2,B003,3,B003_row-28_rep-3_E,8,97,105,114,17,43.942,74.422,490.9,4,77.3,15.7465878997759,56,33.5,23.8,1.36,5,4,4,3,2,2,4,3,0,no notes,
0,B004,1,A03_row-1_rep-GBS1_E,4,94,110,113,19,46.736,67.564,745.8,2,128,17.1627782247251,63.5,31.2,24.8,1.44,5,4,4,4,4,4,5,4,0,some slow flowering,
0,B004,2,D09_row-2_rep-GBS2_E,4,91,109,113,22,45.466,78.74,974.7,0,171,17.5438596491228,89.1,39.9,24.9,1.42,5,5,5,3,3,3,5,4,0,some slow flowering,
1,B004,1,B004_row-3_rep-1_E,6,120,139,143,23,42.418,70.612,426.1,1,103.3,24.243135414222,70.7,39.7,17.3,1.42,5,3,4,3,2,2,3,3,0,some slow flowering,
1,B004,2,B004_row-11_rep-2_E,11,136,150,155,19,41.91,76.2,926.4,2,201.8,21.7832469775475,96.8,37.2,17.6,1.24,5,5,5,4,4,4,4,4,0,some slow flowering,slower flowering 
1,B004,3,B004_row-14_rep-3_E,9,135,135,165,30,34.29,75.438,620.2,0,120.9,19.4937117059013,66.2,25.5,19,1.18,5,5,5,4,4,4,5,4,0,some slow flowering,
2,B004,1,B004_row-19_rep-1_E,7,123,148,155,32,41.402,76.962,673.7,3,133.5,19.8159418138637,77.3,27.8,22.2,1.46,5,4,4,3,3,4,4,4,0,some slow flowering,
2,B004,2,B004_row-25_rep-2_W,8,108,146,150,42,43.688,97.536,854.6,0,151.3,17.7041890943131,72.5,37.2,24.7,1.34,5,5,5,3,3,4,5,4,0,some slow flowering,
2,B004,3,B004_row-27_rep-3_E,8,112,148,154,42,46.482,100.33,1261.3,0,287.9,22.825656069135,132.4,72.1,17.5,1.5,5,5,5,3,3,5,5,5,0,some slow flowering,
0,B005,1,A04_row-1_rep-GBS1_E,5,95,107,110,15,45.466,44.45,355.6,0,90.8,25.5343082114736,53.8,18.5,24,1.28,4,4,5,4,3,4,4,4,0,not enough plants,
