geno,class,cross.type,short.name,gbs,c,N109,good.geno,good.pheno,good.photo,gps,seed2020
B001,italica,F1,B001.Marathon,B001_HKT721_A1_Marathon_F1,",",y,y,y,y,n,
B003,italica,F1,B003.Diplomat,B003_HKT721_A2_Diplomat_F1,",",y,y,y,y,n,
B004,italica,F1,B004.DuraPak19,B004_HKT721_A3_DuraPak19_F1,",",y,y,y,y,n,
B005,italica,IBL,B005.USVL48,B005_HKT721_A4_USVL_048_IBL,",",n,y,n,y,n,
B006,italica,IBL,B006.USVL131,B006_HKT721_A5_USVL_131_IBL,",",n,y,n,y,n,
B011,italica,F1,B011.Gypsy,B011_HKT721_A6_Gypsy_F1,",",y,y,n,y,n,
B013,italica,F1,B013.Lieutenant,B013_HKT721_A7_Lieutenant_F1,",",y,y,n,y,n,
B014,italica,F1,B014.Green.Magic,B014_HKT721_A8_Green_Magic_F1,",",y,y,y,y,n,
B015,italica,F1,B015.Brogan,B015_HKT723_F1_Brogan_F1,",",y,y,y,y,n,
B016,unk,F1,B016.Green.Harmony,B016_HKT723_E6_Green_Harmony_F1,",",y,y,y,y,n,
B017,italica,F1,B017.Major,B017_HKT721_A9_Major_F1,",",y,y,y,y,n,
B021,italica,F1,B021.Liberty,B021_HKT721_A10_Liberty_F1,",",y,y,s,y,n,
B047,italica,F1,B047.Packman,B047_HKT721_A11_Packman_F1,",",y,y,y,y,n,
B093,italica,LR,B093.Cavolo.Broccolo.Tardivo,B093_HKT721_B1_Cavolo_Broccolo_Tardivo_OP,",",y,y,y,y,y,
B094,italica,LR,B094.Cavolo.Broccolo.Di.Sarno,B094_HKT721_B2_Cavolo_Broccolo_Di_Sarno_OP,",",y,y,s,y,y,
B095,italica,LR,B095.Verde.Calabrese.Precoce,B095_HKT721_B3_Verde_Calabrese_Precoce_OP,",",y,y,y,y,y,
B096,italica,LR,B096.Ramoso.Grande.Precoce,B096_HKT721_B4_Ramoso_Grande_Precoce_OP,",",y,y,y,y,y,
B097,italica,LR,B097.Ramoso.Calabrese,B097_HKT721_B5_Ramoso_Calabrese_OP,",",y,y,y,y,n,
B098,unk,LR,B098.Cavolo.Broccolo.Natalina,B098_HKT721_B6_Cavolo_Broccolo_Natalina_OP,",",y,y,s,y,y,
B099,unk,LR,B099.Cavolo.Broccolo.Frevarota,B099_HKT721_B7_Cavolo_Broccolo_Frevarota_OP,",",y,y,n,n,y,
B100,unk,LR,B100.Cavolo.Broccolo.Marzullo,B100_HKT721_B8_Cavolo_Broccolo_Marzullo_OP,",",y,y,n,n,y,
B101,italica,LR,B101.Cavolo.Broccolo.Invernale.Type.A,B101_HKT721_B9_Cavolo_Broccolo_Invernale_Type_A_OP,",",y,y,s,y,y,
B102,italica,LR,B102.Ramoso.Calabrese,B102_HKT721_B10_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B103,italica,LR,B103.Broccolo.Verde.Di.Calabria.Precocissimo,B103_HKT721_B11_Broccolo_Verde_Di_Calabria_Precocissimo_OP,",",y,y,y,y,y,
B104,italica,LR,B104.Cavolo.Zolfino,B104_HKT721_B12_Cavolo_Zolfino_OP,",",y,y,n,n,y,
B105,italica,LR,B105.Precoce.Di.Calabria.Tipo.Esportazione,B105_HKT721_C1_Precoce_Di_Calabria_Tipo_Esportazione_OP,",",y,y,y,y,n,
B106,unk,LR,B106.Picolini.Di.Palermo,B106_HKT721_C2_Picolini_Di_Palermo_OP,",",y,y,n,y,y,
B107,unk,LR,B107.Ramoso.Calabria.Mezzo.Precoce,B107_HKT721_C3_Ramoso_Calabria_Mezzo_Precoce_OP,",",y,y,n,n,y,
B108,italica,LR,B108.Verde.Calabrese,B108_HKT721_C4_Verde_Calabrese_OP,",",y,y,y,y,n,
B109,italica,LR,B109.Ramoso.Calabrese.Verde,B109_HKT721_C5_Ramoso_Calabrese_Verde_OP,",",y,y,y,y,y,
B110,italica,LR,B110.Verde.Calabrese,B110_HKT721_C6_Verde_Calabrese_OP,",",y,y,y,y,y,
B111,italica,LR,B111.Natalino.Di.Napoli,B111_HKT721_C7_Natalino_Di_Napoli_OP,",",y,y,s,y,y,
B112,unk,LR,B112.Cavolo.Broccolo.Settembrina,B112_HKT721_C8_Cavolo_Broccolo_Settembrina_OP,",",y,y,y,y,y,
B113,unk,LR,B113.Broccolo.Innorota.Gennorota,B113_HKT721_C9_Broccolo_Innorota_gennorota_OP,",",y,y,n,n,y,
B114,unk,LR,B114.Cavolo.Broccolo,B114_HKT721_C10_Cavolo_Broccolo_OP,",",y,y,n,n,y,
B115,italica,LR,B115.Broccolo.Ramoso.Di.Calabria,B115_HKT721_C11_Broccolo_Ramoso_Di_Calabria_OP,",",y,y,y,y,n,
B116,unk,LR,B116.Broccolo,B116_HKT721_C12_Broccolo_OP,",",y,y,n,n,y,
B117,unk,LR,B117.Natalisa.Ciurietti,B117_HKT721_D1_Natalisa_Ciurietti_OP,",",y,y,s,y,y,
B118,italica,LR,B118.Broccolo.Destate,B118_HKT721_D2_Broccolo_D_estate_OP,",",y,y,y,y,y,
B119,italica,LR,B119.Broccolo.Natalino,B119_HKT721_D3_Broccolo_Natalino_OP,",",y,y,s,y,y,
B120,italica,LR,B120.Broccolo.Apriloto,B120_HKT721_D4_Broccolo_Apriloto_OP,",",y,y,y,y,y,
B121,unk,LR,B121.Maialora,B121_HKT721_D5_Maialora_OP,",",y,y,y,y,y,
B122,italica,LR,B122.Ramoso.Calabrese,B122_HKT721_D6_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B123,italica,LR,B123.Ramoso.Calabrese,B123_HKT721_D7_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B124,italica,LR,B124.Ramoso.Calabrese.Precoce,B124_HKT721_D8_Ramoso_Calabrese_Precoce_OP,",",y,y,y,y,y,
B125,italica,LR,B125.Ramoso.Atlantic.Local,B125_HKT721_D9_Ramoso_Atlantic_Local_OP,",",y,y,y,y,y,
B126,italica,LR,B126.Ramoso.Calabrese,B126_HKT721_D10_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B127,italica,LR,B127.Ramoso.Calabrese.Precoce,B127_HKT721_D11_Ramoso_Calabrese_Precoce_OP,",",y,y,s,y,y,
B128,italica,LR,B128.Broccolo.Natalino.Di.Sarno,B128_HKT721_D12_Broccolo_Natalino_Di_Sarno_OP,",",y,y,s,y,y,
B129,unk,LR,B129.Ramoso.Calabria.Tardivo,B129_HKT721_E1_Ramoso_Calabria_Tardivo_OP,",",y,y,n,n,y,
B130,unk,LR,B130.Cavolo.Broccolo.Agostina,B130_HKT721_E2_Cavolo_Broccolo_Agostina_OP,",",y,y,y,y,y,
B131,italica,LR,B131.Broccolo.Verde.Di.Calabria.Tardivo,B131_HKT721_E3_Broccolo_Verde_Di_Calabria_Tardivo_OP,",",y,y,n,n,y,
B132,italica,LR,B132.Precoce.Di.Calabria,B132_HKT721_E4_Precoce_Di_Calabria_OP,",",y,y,y,y,y,
B133,italica,LR,B133.Ramoso.Calabrese,B133_HKT721_E5_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B134,italica,LR,B134.Cavolo.Sparacello,B134_HKT721_E6_Cavolo_Sparacello_OP,",",y,y,n,y,y,
B135,italica,LR,B135.N.tagliu.N.tagghiv.Pilotu,B135_HKT721_E7_N_tagliu_N_tagghiv_Pilotu_OP,",",y,y,y,y,y,
B136,italica,LR,B136.Ramoso.Calabrese.Verde,B136_HKT721_E8_Ramoso_Calabrese_Verde_OP,",",y,y,y,y,y,
B137,italica,LR,B137.Ramoso.Calabrese.Precoce,B137_HKT721_E9_Ramoso_Calabrese_Precoce_OP,",",y,y,y,y,y,
